web_scraper_order;web_scraper_start_url;container_urls;marque;annee;prix;adresse;proprietaire
1767575545-58;https://dakar-auto.com/senegal/location-de-voitures-19?&page=6;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/citroen/c3/annonce-135232;Citroen C3 2019 Dakar;Année: 2019;25 000 F CFA;Yoff;A vos  services
1767575549-59;https://dakar-auto.com/senegal/location-de-voitures-19?&page=6;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/focus/annonce-135233;Ford Focus 2016 Dakar;Année: 2016;20 000 F CFA;Yoff;A vos  services
1767575553-60;https://dakar-auto.com/senegal/location-de-voitures-19?&page=6;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/avensis/annonce-135299;Toyota Avensis 2014 Dakar;Année: 2014;20 000 F CFA;Fass;Easy_Trip_ Sen
1767575556-61;https://dakar-auto.com/senegal/location-de-voitures-19?&page=6;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135300;Ford ESCAPE-SE 2013 Dakar;Année: 2013;30 000 F CFA;Fass;Easy_Trip_ Sen
1767575560-62;https://dakar-auto.com/senegal/location-de-voitures-19?&page=6;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/focus/annonce-135129;Ford Focus 2016 Dakar;Année: 2016;25 000 F CFA;Médina;SEN  BAZAR
1767575564-63;https://dakar-auto.com/senegal/location-de-voitures-19?&page=6;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-titanium/annonce-135383;Ford Escape-Titanium 2016 Dakar;Année: 2016;35 000 F CFA;VDN;MODOU  LO
1767575567-64;https://dakar-auto.com/senegal/location-de-voitures-19?&page=6;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135386;Ford ESCAPE-SE 2014 Dakar;Année: 2014;30 000 F CFA;Plateau;Abibatou  Diop
1767575577-65;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-135392;Hyundai Sonata 2013 Dakar;Année: 2013;25 000 F CFA;VDN;MODOU  LO
1767575581-66;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-135441;Ford Fusion 2013 Dakar;Année: 2013;35 000 F CFA;Mermoz Sacré-Coeur;Originodesign  Market
1767575585-67;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/mini-bus-hyundai/annonce-135452;Hyundai mini-bus-hyundai 2013 Dakar;Année: 2013;60 000 F CFA;Ouakam;SYLLA BUSINESS  GROUP
1767575588-68;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135454;Ford ESCAPE-SE 2014 Dakar;Année: 2014;35 000 F CFA;Ouakam;SYLLA BUSINESS  GROUP
1767575591-69;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/ml-350/annonce-135459;Mercedes ML 350 2016 Dakar;Année: 2016;60 000 F CFA;Yoff;A vos  services
1767575594-70;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-135461;Ford Explorer 2016 Dakar;Année: 2016;60 000 F CFA;Yoff;A vos  services
1767575597-71;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-135490;Toyota Hilux 2016 Dakar;Année: 2016;50 000 F CFA;Grand-Dakar;Bouly  DIEDHIOU
1767575600-72;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hiace/annonce-135505;Toyota Hiace 2021 Dakar;Année: 2021;70 000 F CFA;Ouakam;SYLLA BUSINESS  GROUP
1767575604-73;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135566;Hyundai Elantra 2013 Dakar;Année: 2013;30 000 F CFA;Nord Foire;Julie  Campara
1767575608-74;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-135702;Hyundai Tucson 2016 Dakar;Année: 2016;30 000 F CFA;Liberté 4;Caroline ,
1767575612-75;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-135753;Ford ESCAPE-SE 2016 Dakar;Année: 2016;40 000 F CFA;Yoff;Babacar ba  résidence
1767575615-76;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/peugeot/308/annonce-135756;Peugeot 308 2012 Dakar;Année: 2012;25 000 F CFA;Mamelles;Auto business  Dakar
1767575618-77;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-135761;Toyota Hilux 2018 Dakar;Année: 2018;30 000 F CFA;Hann Bel-Air;PAPIEX .
1767575621-78;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-135787;Ford Edge 2014 Dakar;Année: 2014;30 000 F CFA;Médina;Cheikh .
1767575625-79;https://dakar-auto.com/senegal/location-de-voitures-19?&page=5;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-135835;Ford Fusion 2016 Dakar;Année: 2016;35 000 F CFA;Dieuppeul Derklé;Lendom  Zefff
