web_scraper_order;web_scraper_start_url;container_urls;marque;annee;prix;adresse;proprietaire
1767575705-98;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-136406;Toyota Hilux 2016 Dakar;Année: 2016;40 000 F CFA;Diamaguene Sicap Mbao;Cartel .
1767575708-99;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/pathfinder/annonce-136457;Nissan Pathfinder 2014 Dakar;Année: 2014;40 000 F CFA;Ouakam;LOCA VOITURE  DAKAR
1767575713-100;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chrysler/200s/annonce-136462;Chrysler 200s 2015 Dakar;Année: 2015;30 000 F CFA;Fann;Jules  BADJI
1767575718-101;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-136473;Ford Fusion 2014 Dakar;Année: 2014;25 000 F CFA;Patte d'oie;Trade Company
1767575722-102;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/scape/annonce-136495;Ford scape 2017 Dakar;Année: 2017;35 000 F CFA;VDN;Valer NDOUBA
1767575725-103;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-136496;Hyundai Tucson 2017 Dakar;Année: 2017;35 000 F CFA;VDN;Valer NDOUBA
1767575731-104;https://dakar-auto.com/senegal/location-de-voitures-19?&page=4;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/jeep/cherokee/annonce-136534;Jeep Cherokee 2020 Dakar;Année: 2020;50 000 F CFA;Yoff;A vos  services
1767575744-105;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/k5/annonce-136533;Kia K5 2016 Dakar;Année: 2016;1 F CFA;Yoff;A vos  services
1767575747-106;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-136543;Toyota Hilux 2014 Dakar;Année: 2014;50 000 F CFA;Bel Air;travelsencar ..
1767575751-107;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-136109;Ford Edge 2016 Dakar;Année: 2016;40 000 F CFA;Ouakam;VPS  SERVICES
1767575756-108;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/rav-4/annonce-136576;Toyota Rav 4 2017 Dakar;Année: 2017;40 000 F CFA;Hlm;Taiba Immo  Services
1767575760-109;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mitsubishi/l200/annonce-136602;Mitsubishi L200 2016 Dakar;Année: 2016;35 000 F CFA;Parcelles Assainies;Lamine  Fall
1767575765-110;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-136639;Ford Fusion 2016 Dakar;Année: 2016;40 000 F CFA;Yoff;Babacar ba  résidence
1767575769-111;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-136650;Hyundai Tucson 2016 Dakar;Année: 2016;35 000 F CFA;Liberté 2;Elhadj ben  abdallah
1767575774-112;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/transit/annonce-136680;Ford Transit 2016 Dakar;Année: 2016;60 000 F CFA;Médina;Kena Impact  Groupes
1767575778-113;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-136723;Ford Fusion 2013 Dakar;Année: 2013;45 000 F CFA;Ouest Foire;Lamine Konare
1767575783-114;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-136722;Ford Fusion 2014 Dakar;Année: 2014;45 000 F CFA;Ouest Foire;Lamine Konare
1767575788-115;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-136720;Hyundai Sonata 2014 Dakar;Année: 2014;30 000 F CFA;Hann Maristes;Babs Motos,  Scooters
1767575795-116;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-136739;Ford Edge 2018 Dakar;Année: 2018;60 000 F CFA;Grand-Yoff;Atlantic  auto
1767575798-117;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/isuzu/camionnette/annonce-136731;Isuzu CAMIONNETTE 2010 Dakar;Année: 2010;35 000 F CFA;Parcelles Assainies;NAWANAM SUARL
1767575803-118;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/renault/camion-frigo-meldium-220cdi/annonce-136730;Renault Camion-Frigo-meldium-220CDI 2010 Dakar;Année: 2010;50 000 F CFA;Parcelles Assainies;NAWANAM SUARL
1767575806-119;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/renault/premium-270-dci-frigo/annonce-136729;Renault premium-270-dci-frigo 2010 Dakar;Année: 2010;70 000 F CFA;Parcelles Assainies;NAWANAM SUARL
1767575809-120;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/cruze/annonce-136931;Chevrolet Cruze 2013 Dakar;Année: 2013;25 000 F CFA;Sicap Sacré Coeur;Amadou  gaye
1767575813-121;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-136615;Hyundai Elantra 2015 Dakar;Année: 2015;30 000 F CFA;Médina;SEN  BAZAR
1767575816-122;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/accent/annonce-137025;Hyundai Accent 2020 Dakar;Année: 2020;50 000 F CFA;Mbour;Yva Ndour
1767575819-123;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-137027;Ford Edge 2015 Dakar;Année: 2015;45 000 F CFA;Point-E;TECHZONE .
1767575822-124;https://dakar-auto.com/senegal/location-de-voitures-19?&page=3;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/renault/espace/annonce-137029;Renault Espace 2019 Dakar;Année: 2019;10 000 F CFA;Ouakam;Boutik Promo
1767575832-125;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/atos/annonce-137030;Hyundai Atos 2019 Dakar;Année: 2019;30 000 F CFA;Liberté 6;Car Service Dakar
1767575836-126;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/escape-se/annonce-137028;Ford ESCAPE-SE 2019 Dakar;Année: 2019;35 000 F CFA;Cité Keur gorgui;Madiba Auto rent
1767575839-127;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sorento/annonce-137032;Kia Sorento 2020 Dakar;Année: 2020;40 000 F CFA;Yoff;Abdia ...
1767575843-128;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/explorer/annonce-137037;Ford Explorer 2019 Dakar;Année: 2019;60 000 F CFA;Yoff;A vos  services
1767575846-129;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-137036;Hyundai Elantra 2014 Dakar;Année: 2014;30 000 F CFA;Médina;SEN  BAZAR
1767575850-130;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-137035;Ford Fusion 2015 Dakar;Année: 2015;30 000 F CFA;Médina;SEN  BAZAR
1767575853-131;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/titanium/annonce-137034;Ford titanium 2020 Dakar;Année: 2020;40 000 F CFA;Médina;BS Auto
1767575857-132;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-137033;Ford Fusion 2020 Dakar;Année: 2020;35 000 F CFA;Biscuiterie;Evrad  Peter
1767575864-133;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/bmw/serie-5/annonce-137054;Bmw Serie 5 2014 Dakar;Année: 2014;70 000 F CFA;Virage;Coulibaly  Mamadou
1767575868-134;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/optima/annonce-137084;Kia Optima 2014 Dakar;Année: 2014;25 000 F CFA;Ouakam;Valer NDOUBA
1767575873-135;https://dakar-auto.com/senegal/location-de-voitures-19?&page=2;https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-137304;Ford Fusion 2013 Dakar;1 km;30 000 F CFA;Point-E;TECHZONE .
